epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,8986.28,1.49294,1.92549,1.63851,0.41348,0.28385,0.24812,0.14233,1.77777,2.10967,1.9297,0.002806,0.002806,0.002806
111,9067.89,1.49899,1.93209,1.64284,0.41368,0.2849,0.24873,0.1426,1.77715,2.10706,1.92835,0.00274,0.00274,0.00274
112,9149.4,1.49225,1.92649,1.63592,0.41294,0.28471,0.24323,0.14198,1.77646,2.10454,1.92708,0.002674,0.002674,0.002674
113,9230.97,1.49155,1.91267,1.63533,0.41184,0.28446,0.24363,0.14227,1.77552,2.10237,1.92557,0.002608,0.002608,0.002608
114,9312.53,1.48821,1.90694,1.62976,0.41349,0.28536,0.2437,0.14228,1.77508,2.09914,1.92437,0.002542,0.002542,0.002542
115,9394.16,1.48193,1.89553,1.62696,0.41216,0.28456,0.24457,0.14262,1.775,2.098,1.92343,0.002476,0.002476,0.002476
116,9475.66,1.47705,1.89107,1.62247,0.4093,0.28461,0.24372,0.14181,1.77392,2.09524,1.9221,0.00241,0.00241,0.00241
117,9557.13,1.47871,1.89259,1.62395,0.40918,0.28474,0.24491,0.14214,1.77333,2.0932,1.92057,0.002344,0.002344,0.002344
118,9638.73,1.4743,1.89046,1.61833,0.40902,0.28537,0.24518,0.1424,1.77372,2.09064,1.91953,0.002278,0.002278,0.002278
119,9720.24,1.47484,1.87989,1.61684,0.40989,0.28646,0.24575,0.14286,1.77301,2.08736,1.91847,0.002212,0.002212,0.002212
120,9801.7,1.47386,1.88461,1.61769,0.41114,0.28887,0.24551,0.14343,1.77226,2.08659,1.91755,0.002146,0.002146,0.002146
121,9883.08,1.46799,1.87665,1.61785,0.41114,0.28874,0.24614,0.14376,1.77094,2.08394,1.91639,0.00208,0.00208,0.00208
122,9964.6,1.46237,1.86231,1.607,0.41188,0.28899,0.24676,0.14385,1.76903,2.08169,1.91416,0.002014,0.002014,0.002014
123,10046.1,1.46202,1.86003,1.60864,0.41314,0.28882,0.24728,0.14414,1.76797,2.07953,1.91276,0.001948,0.001948,0.001948
124,10127.6,1.45912,1.85813,1.60688,0.41514,0.2885,0.248,0.14469,1.76739,2.07667,1.91152,0.001882,0.001882,0.001882
125,10209,1.45351,1.85532,1.60331,0.41599,0.28818,0.24827,0.14543,1.76688,2.07404,1.91019,0.001816,0.001816,0.001816
126,10290.9,1.4494,1.84273,1.60045,0.41649,0.28865,0.2481,0.1451,1.76561,2.07203,1.90913,0.00175,0.00175,0.00175
127,10372.3,1.45176,1.84026,1.59941,0.41401,0.29168,0.24978,0.14645,1.76531,2.0698,1.90873,0.001684,0.001684,0.001684
128,10453.7,1.45129,1.83452,1.59591,0.41462,0.29161,0.25099,0.14743,1.76534,2.06823,1.90822,0.001618,0.001618,0.001618
129,10534.9,1.43946,1.82994,1.59279,0.41582,0.29062,0.25145,0.14776,1.76419,2.06578,1.90691,0.001552,0.001552,0.001552
130,10616.4,1.44142,1.82232,1.58964,0.41506,0.29096,0.2522,0.14843,1.76351,2.06324,1.9055,0.001486,0.001486,0.001486
131,10697.8,1.43748,1.81271,1.58626,0.42032,0.29034,0.25329,0.14824,1.76308,2.06054,1.90498,0.00142,0.00142,0.00142
132,10779.3,1.43346,1.81322,1.5835,0.42202,0.29055,0.25295,0.14767,1.76313,2.05827,1.90461,0.001354,0.001354,0.001354
133,10860.6,1.43162,1.80912,1.58645,0.42496,0.29063,0.25293,0.14756,1.76327,2.05563,1.90419,0.001288,0.001288,0.001288
134,10942.1,1.4298,1.79681,1.58094,0.42776,0.28982,0.25339,0.14761,1.76377,2.05404,1.90406,0.001222,0.001222,0.001222
135,11023.5,1.42284,1.79098,1.57884,0.43031,0.28945,0.25361,0.14806,1.76394,2.05121,1.90316,0.001156,0.001156,0.001156
136,11105,1.42088,1.78553,1.57312,0.43332,0.28961,0.25411,0.1482,1.76422,2.04911,1.90235,0.00109,0.00109,0.00109
137,11186.4,1.41858,1.7787,1.57291,0.43392,0.29124,0.25443,0.14847,1.76429,2.04621,1.90183,0.001024,0.001024,0.001024
138,11267.8,1.41756,1.77446,1.57011,0.43718,0.28948,0.25406,0.14835,1.76415,2.04411,1.9014,0.000958,0.000958,0.000958
139,11349.4,1.41294,1.77217,1.56501,0.43711,0.28962,0.25448,0.1487,1.76365,2.04171,1.90002,0.000892,0.000892,0.000892
140,11430.9,1.41013,1.76154,1.56498,0.43418,0.29234,0.25483,0.1486,1.76385,2.04008,1.89972,0.000826,0.000826,0.000826
141,11512,1.50421,1.74211,1.66214,0.4342,0.29239,0.25606,0.14974,1.76323,2.03726,1.89812,0.00076,0.00076,0.00076
142,11592.4,1.4826,1.69746,1.64444,0.4368,0.2913,0.25661,0.15012,1.76136,2.03407,1.89612,0.000694,0.000694,0.000694
143,11672.8,1.47194,1.68142,1.63665,0.43768,0.29154,0.25815,0.15104,1.75903,2.0315,1.89367,0.000628,0.000628,0.000628
144,11753.2,1.46336,1.66018,1.62578,0.43901,0.29147,0.25875,0.15139,1.75708,2.02761,1.89121,0.000562,0.000562,0.000562
145,11833.5,1.45173,1.64884,1.61648,0.44114,0.29417,0.2597,0.15217,1.75506,2.02381,1.88824,0.000496,0.000496,0.000496
146,11913.8,1.44722,1.64197,1.61335,0.44007,0.29677,0.26042,0.15267,1.75341,2.02089,1.88648,0.00043,0.00043,0.00043
147,11994.1,1.44425,1.63839,1.61366,0.43714,0.30007,0.26169,0.1533,1.75176,2.01814,1.88543,0.000364,0.000364,0.000364
148,12074.3,1.43686,1.62133,1.60711,0.43782,0.30095,0.26293,0.15399,1.74988,2.01552,1.8841,0.000298,0.000298,0.000298
149,12154.7,1.4309,1.61483,1.60528,0.43818,0.30092,0.26365,0.15466,1.74777,2.01177,1.88244,0.000232,0.000232,0.000232
150,12235,1.42702,1.60439,1.59859,0.43903,0.30305,0.26492,0.15491,1.74588,2.00904,1.88048,0.000166,0.000166,0.000166
