epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
133,58490.2,0.49139,0.56439,0.24238,0.46881,0.33233,0.31713,0.16975,0.75491,0.68396,0.66879,0.001288,0.001288,0.001288
134,59031.9,0.49125,0.56069,0.23877,0.46268,0.33615,0.3165,0.16923,0.75693,0.68199,0.67087,0.001222,0.001222,0.001222
135,59573.7,0.48469,0.55562,0.2369,0.44164,0.34071,0.31409,0.16905,0.75943,0.67883,0.67449,0.001156,0.001156,0.001156
136,60115.3,0.4788,0.55715,0.23524,0.44083,0.33801,0.31415,0.16969,0.76155,0.67515,0.67621,0.00109,0.00109,0.00109
137,60657,0.47825,0.55163,0.23134,0.44259,0.34056,0.31401,0.16977,0.76328,0.67406,0.67886,0.001024,0.001024,0.001024
138,61198.7,0.47026,0.55024,0.22884,0.4273,0.34513,0.31388,0.16931,0.76409,0.67367,0.68086,0.000958,0.000958,0.000958
139,61740.1,0.46886,0.54336,0.22744,0.42128,0.3463,0.31453,0.16996,0.76539,0.67365,0.68293,0.000892,0.000892,0.000892
140,62281.6,0.46506,0.53878,0.22407,0.41426,0.35218,0.31488,0.17023,0.76609,0.67421,0.68564,0.000826,0.000826,0.000826
141,62823.3,0.44183,0.4727,0.23931,0.40896,0.35486,0.3162,0.17112,0.76892,0.6726,0.68786,0.00076,0.00076,0.00076
142,63364.8,0.43029,0.46111,0.2291,0.40318,0.35972,0.31661,0.17098,0.76992,0.67316,0.69022,0.000694,0.000694,0.000694
143,63905.9,0.42455,0.45343,0.22425,0.3976,0.36621,0.31788,0.1718,0.77026,0.67365,0.6914,0.000628,0.000628,0.000628
144,64447.3,0.41936,0.44308,0.21872,0.4042,0.3664,0.31867,0.17219,0.7723,0.67285,0.6937,0.000562,0.000562,0.000562
145,64988.8,0.41423,0.43865,0.21718,0.40622,0.36651,0.31822,0.17229,0.77483,0.67318,0.69391,0.000496,0.000496,0.000496
146,65530.2,0.4087,0.43239,0.2103,0.4109,0.36265,0.31751,0.17181,0.77642,0.6729,0.69536,0.00043,0.00043,0.00043
147,66071.4,0.4021,0.42564,0.20651,0.41639,0.3627,0.31764,0.17178,0.77942,0.66984,0.69832,0.000364,0.000364,0.000364
148,66612.9,0.39785,0.42102,0.20369,0.42338,0.3606,0.31761,0.17254,0.78044,0.67032,0.69704,0.000298,0.000298,0.000298
149,67154.4,0.39419,0.41672,0.20101,0.4311,0.36012,0.31876,0.1737,0.78293,0.66929,0.69933,0.000232,0.000232,0.000232
150,67696.2,0.39059,0.41275,0.19801,0.42594,0.36359,0.31953,0.17414,0.78509,0.66601,0.70236,0.000166,0.000166,0.000166
